NTSBNumber,AccidentReport,AccidentDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,HighestInjuryLevel,AircraftNumber,DamageLevel,AircraftCategory,RegulationFlightConductedUnder,FlightScheduledType,FlightTerminalType,FlightServiceType,FlightOperationType,DefiningEvent,PhaseOfFlight,IntentionalAct
ERA19LA080,AccidentReport,1/7/19,Soddy-Daisy,Tennessee,United States,35.328609,-85.055557,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
WPR19LA058,AccidentReport,1/7/19,Colusa,California,United States,39.153057,-122.019996,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
CEN19LA065,AccidentReport,1/8/19,Uvalde,Texas,United States,29.210277,-99.743057,,,Minor,1,Substantial,Helicopter,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Initial Climb,
CEN19LA069,AccidentReport,1/10/19,Port Lavaca,Texas,United States,28.67,-96.680831,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
CEN19LA067,AccidentReport,1/11/19,Belen,New Mexico,United States,34.618888,-106.832778,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19LA068,AccidentReport,1/11/19,Ponca City,Oklahoma,United States,36.725276,-97.101943,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Positioning,Loss of Control on Ground,Landing,
WPR19TA061,AccidentReport,1/11/19,Yuma,Arizona,United States,32.619445,-114.645553,,1,Serious,1,Substantial,Helicopter,Part 137: Agricultural,,,,Other work use,Low Altitude Operation,Maneuvering,
CEN19LA054,AccidentReport,1/12/19,Uvalde,Texas,United States,29.461389,-100.114166,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Business,Abnormal Runway Contact,Landing,
WPR19LA062,AccidentReport,1/12/19,Langley,Washington,United States,48.032501,-122.4375,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Approach,
CEN19LA053,AccidentReport,1/13/19,Salem,South Dakota,United States,43.61861,-97.381111,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Medical Event,Maneuvering,
CEN19LA066,AccidentReport,1/13/19,Adrian,Michigan,United States,41.867778,-84.077224,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
WPR19LA063,AccidentReport,1/13/19,Kingman,Arizona,United States,35.101943,-113.886108,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
WPR19LA064,AccidentReport,1/13/19,Port Hadlock,Washington,United States,48.042221,-122.77471,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19LA065,AccidentReport,1/15/19,Salt Lake City,Utah,United States,40.619445,-111.992774,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
WPR19CA069,AccidentReport,1/16/19,Townsend,Montana,United States,46.308055,-111.53778,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
CEN19LA055,AccidentReport,1/17/19,Fredericksburg,Texas,United States,30.260555,-98.906944,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19LA066,AccidentReport,1/17/19,Ellensburg,Washington,United States,46.947223,-120.512779,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Enroute,
CEN19LA071,AccidentReport,1/18/19,Beechwood,Wisconsin,United States,45.606388,-88.109169,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
GAA19CA105,AccidentReport,1/18/19,Reidsville,North Carolina,United States,36.437221,-79.851112,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
CEN19CA062,AccidentReport,1/19/19,Iron Mountain,Michigan,United States,45.830001,-87.980003,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19LA060,AccidentReport,1/19/19,Keshena,Wisconsin,United States,44.996387,-88.603614,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
GAA19CA122,AccidentReport,1/19/19,MIAMI,Florida,United States,25.647499,-80.433334,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
WPR19CA067,AccidentReport,1/19/19,Chino,California,United States,33.975276,-117.635276,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
WPR19LA070,AccidentReport,1/19/19,Roll,Arizona,United States,32.829166,-113.990554,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19TA068,AccidentReport,1/19/19,Torrance,California,United States,33.801387,-118.341941,,,Minor,1,Minor,Airplane,Part 91: General aviation,,,,Personal,Ground Collision,Taxi,
WPR19TA068,AccidentReport,1/19/19,Torrance,California,United States,33.801387,-118.341941,,,Minor,2,Substantial,Airplane,Part 91: General aviation,,,,Personal,Ground Collision,Standing,
CEN19LA063,AccidentReport,1/20/19,Aguilares,Texas,United States,27.448333,-99.086387,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Aerial observation,Fuel Related,Enroute,
GAA19CA115,AccidentReport,1/20/19,Patterson,Louisiana,United States,29.707221,-91.296386,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abrupt Maneuver,Approach,
ANC19CA010,AccidentReport,1/21/19,Chignik Lagoon,Alaska,United States,56.308887,-158.53582,,,None,1,Substantial,Airplane,Part 91: General aviation,Non-scheduled,,,Other work use,Loss of Control on Ground,Landing,
CEN19LA056,AccidentReport,1/21/19,Kidron,Ohio,United States,40.755554,-81.776947,2,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Positioning,Loss of Control In-Flight,Initial Climb,
CEN19WA057,AccidentReport,1/21/19,St. Peter Port,,United Kingdom,49.683887,-2.562222,2,,Fatal,1,Destroyed,Airplane,"Non-U.S., non-commercial",,,,,Loss of Control In-Flight,Enroute,
ANC19LA011,AccidentReport,1/22/19,Anchorage,Alaska,United States,60.903331,-150.1636,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19CA072,AccidentReport,1/23/19,Ogden,Utah,United States,41.190555,-112.007774,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Runway Excursion,Takeoff,
WPR19LA071,AccidentReport,1/23/19,Ashland,Oregon,United States,42.066665,-122.596389,1,,Fatal,1,Substantial,Helicopter,Part 91: General aviation,,,,Other work use,Low Altitude Operation,Maneuvering,
GAA19CA134,AccidentReport,1/25/19,Troutdale,Oregon,United States,45.549446,-122.40139,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
WPR19FA077,AccidentReport,1/25/19,Mt Hood,Oregon,United States,45.374168,-121.688888,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
ERA19LA083,AccidentReport,1/26/19,Lexington,Kentucky,United States,38.05389,-84.57389,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Approach,
GAA19CA109,AccidentReport,1/26/19,Los Angeles,California,United States,34.259445,-118.41333,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA131,AccidentReport,1/26/19,Williamsburg,Virginia,United States,37.239166,-76.71611,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Runway Excursion,Landing,
CEN19LA076,AccidentReport,1/27/19,Pflugerville,Texas,United States,30.424165,-97.568611,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
CEN19TA073,AccidentReport,1/27/19,Fort Worth,Texas,United States,32.755832,-97.297775,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Approach,
GAA19CA114,AccidentReport,1/27/19,Anchorage,Alaska,United States,61.215831,-149.84027,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA126,AccidentReport,1/27/19,Selah,Washington,United States,46.445835,-120.363891,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
GAA19CA132,AccidentReport,1/27/19,McGrath,Alaska,United States,62.786109,-154.753616,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
WPR19FA075,AccidentReport,1/28/19,Oceanside,California,United States,33.210556,-117.36916,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Initial Climb,
WPR19LA076,AccidentReport,1/28/19,Prospect,Oregon,United States,42.717224,-122.51721,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Initial Climb,
ANC19FA012,AccidentReport,1/29/19,Kake,Alaska,United States,56.994998,-134.46722,3,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Business,Loss of Control In-Flight,Approach,
CEN19LA074,AccidentReport,1/29/19,Grand Prairie,Texas,United States,32.634723,-96.970275,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Midair,Enroute,
CEN19LA074,AccidentReport,1/29/19,Grand Prairie,Texas,United States,32.634723,-96.970275,,,None,2,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Midair,Enroute,
GAA19CA113,AccidentReport,1/29/19,Reno,Nevada,United States,39.000556,-119.751113,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Takeoff,
GAA19CA120,AccidentReport,1/29/19,Truckee,California,United States,39.319999,-120.139442,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA121,AccidentReport,1/29/19,Tampa,Florida,United States,28.01111,-82.344444,,,None,1,Substantial,Helicopter,Public aircraft,,,,Instructional,Abnormal Runway Contact,Landing,
CEN19FA078,AccidentReport,1/31/19,Katy,Texas,United States,29.740858,-95.830406,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Enroute,
ERA19LA093,AccidentReport,2/1/19,Atlantic Ocean,Atlantic Ocean,United States,37.634956,-72.86087,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Abrupt Maneuver,Maneuvering,
GAA19CA125,AccidentReport,2/1/19,Cedar City,Utah,United States,37.404998,-112.909164,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
WPR19LA078,AccidentReport,2/1/19,Socorro,New Mexico,United States,34.024444,-106.89833,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Takeoff,
ERA19LA094,AccidentReport,2/2/19,Ocala,Florida,United States,29.27861,-82.122222,1,,Fatal,1,Substantial,Weight-shift,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
ERA19LA095,AccidentReport,2/2/19,Knotts Island,North Carolina,United States,36.560001,-75.919998,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19FA079,AccidentReport,2/3/19,Yorba Linda,California,United States,33.871944,-117.78666,5,2,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Initial Climb,
GAA19CA130,AccidentReport,2/4/19,Hanover,Virginia,United States,37.708057,-77.436386,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Taxi,
WPR19FA080,AccidentReport,2/5/19,Desert Hot Springs,California,United States,34.026111,-116.58777,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Navigation Error,Enroute,
WPR19TA085,AccidentReport,2/6/19,Aurora,Oregon,United States,45.24139,-122.768608,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Approach,
ERA19LA097,AccidentReport,2/8/19,Vero Beach,Florida,United States,27.664167,-80.42472,0,0,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
GAA19CA133,AccidentReport,2/8/19,Page,Arizona,United States,36.735832,-111.395553,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Landing,
WPR19FA083,AccidentReport,2/8/19,Diablo,California,United States,37.871944,-121.92444,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Controlled Flight Into Terrain,Enroute,
WPR19LA100,AccidentReport,2/9/19,Watsonville,California,United States,36.935832,-121.789718,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Approach,
ERA19TA098,AccidentReport,2/10/19,Lignum,Virginia,United States,38.397499,-77.806663,0,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,System/Component Failure - Powerplant,Maneuvering,
GAA19CA136,AccidentReport,2/10/19,Arlington,Washington,United States,48.160831,-122.159164,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Ground Collision,Standing,
GAA19CA143,AccidentReport,2/10/19,Woodruff,Wisconsin,United States,45.928054,-89.730834,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Takeoff,
WPR19LA088,AccidentReport,2/10/19,Laramie,Wyoming,United States,41.287498,-105.607498,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Non-power,Enroute,
CEN19LA090,AccidentReport,2/11/19,Richmond,Indiana,United States,39.750831,-84.852218,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Business,Runway Excursion,Landing,
GAA19CA140,AccidentReport,2/12/19,Slaton,Texas,United States,33.485279,-101.661666,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Runway Excursion,Landing,
GAA19CA138,AccidentReport,2/13/19,Atlanta,Georgia,United States,34.013332,-84.59333,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
GAA19CA145,AccidentReport,2/14/19,Lacon,Illinois,United States,41.01889,-89.385833,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
CEN19FA082,AccidentReport,2/15/19,Canadian,Texas,United States,35.906112,-100.5736,2,0,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19LA091,AccidentReport,2/15/19,Horseshoe Bay,Texas,United States,30.543056,-98.354446,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Takeoff,
GAA19CA137,AccidentReport,2/15/19,Sanford,Florida,United States,28.779443,-81.235832,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
WPR19FA084,AccidentReport,2/15/19,Ely,Nevada,United States,39.334167,-114.78055,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Enroute,
GAA19CA141,AccidentReport,2/19/19,Clearwater,Florida,United States,27.975833,-82.756385,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Taxi,
GAA19CA142,AccidentReport,2/20/19,Tulsa,Oklahoma,United States,36.039722,-95.982498,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Business,Loss of Control In-Flight,Approach,
CEN19FA084,AccidentReport,2/21/19,Goshen,Indiana,United States,41.527778,-85.757222,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Controlled Flight Into Terrain,Approach,
CEN19LA085,AccidentReport,2/21/19,ENGLEWOOD,Colorado,United States,39.563888,-104.843887,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Unknown,Initial Climb,
ERA19TA105,AccidentReport,2/21/19,Frankfort,Kentucky,United States,38.183055,-84.900001,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Approach,
GAA19CA146,AccidentReport,2/21/19,Livermore,California,United States,37.693332,-121.820274,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Runway Excursion,Landing,
GAA19CA150,AccidentReport,2/21/19,Scappoose,Oregon,United States,45.77111,-122.861946,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA151,AccidentReport,2/21/19,Morristown,New Jersey,United States,40.7975,-74.415832,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Takeoff,
WPR19FA086,AccidentReport,2/21/19,Stallion Springs,California,United States,35.0475,-118.59694,3,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Business,Unintended Flight Into IMC,Enroute,
WPR19LA087,AccidentReport,2/21/19,Kukuihaele,Hawaii,United States,20.110834,-155.55416,,1,Serious,1,Substantial,Helicopter,Part 91: General aviation,,,,Positioning,System/Component Failure - Powerplant,Approach,
CEN19LA086,AccidentReport,2/22/19,Colby,Kansas,United States,39.427223,-101.05278,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Positioning,System/Component Failure - Non-power,Takeoff,
GAA19CA144,AccidentReport,2/22/19,Ridgeland,South Carolina,United States,32.494167,-80.991111,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Landing,
ERA19FA106,AccidentReport,2/23/19,Winter Haven,Florida,United States,28.05611,-81.753334,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,System/Component Failure - Powerplant,Initial Climb,
ERA19FA107,AccidentReport,2/23/19,Mansfield,Massachusetts,United States,42.004444,-71.199722,2,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Initial Climb,
GAA19CA147,AccidentReport,2/23/19,Aberdeen,South Dakota,United States,45.534721,-98.613052,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Collision on Takeoff or Landing,Landing,
GAA19CA153,AccidentReport,2/23/19,Princeton,New Jersey,United States,40.399166,-74.658889,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Wildlife Encounter,Landing,
GAA19CA149,AccidentReport,2/24/19,Springfield,Illinois,United States,39.841667,-89.675003,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Flight test,Loss of Control on Ground,Taxi,
GAA19CA152,AccidentReport,2/25/19,Ridgeland,South Carolina,United States,32.491111,-80.993614,,,None,1,Substantial,Airplane,Public aircraft,,,,Public aircraft - federal,Loss of Control on Ground,Landing,
ERA19LA109,AccidentReport,2/26/19,Louisville,Kentucky,United States,38.228054,-85.663612,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Takeoff,
CEN19LA087,AccidentReport,2/27/19,Devine,Texas,United States,29.274999,-98.877502,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19FA088,AccidentReport,2/28/19,Shreveport,Louisiana,United States,32.54861,-93.76139,2,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
ERA19TA110,AccidentReport,2/28/19,TULLAHOMA,Tennessee,United States,35.345832,-86.270278,0,2,Serious,1,Substantial,Helicopter,Part 91: General aviation,,,,Ferry,Unintended Flight Into IMC,Enroute,
ERA19TA111,AccidentReport,2/28/19,West Palm Beach,Atlantic Ocean,United States,26.659444,-79.688056,0,0,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
GAA19CA154,AccidentReport,2/28/19,Floodwood,Minnesota,United States,46.976943,-92.830001,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
ERA19FA112,AccidentReport,3/1/19,Fort Lauderdale,Florida,United States,26.16611,-80.101112,1,0,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Banner tow,Other,Maneuvering,
ERA19FA113,AccidentReport,3/1/19,Louisburg,North Carolina,United States,36.001945,-78.354721,3,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
WPR19LA092,AccidentReport,3/1/19,Melba,Idaho,United States,43.426944,-116.621109,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,System/Component Failure - Powerplant,Maneuvering,
ERA19TA114,AccidentReport,3/2/19,Merritt Island,Florida,United States,28.341388,-80.685279,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
GAA19CA155,AccidentReport,3/2/19,Palmer,Alaska,United States,61.798053,-149.503326,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA162,AccidentReport,3/2/19,Scottsdale,Arizona,United States,33.626388,-111.90583,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Approach,
CEN19FA093,AccidentReport,3/5/19,Summersville,Missouri,United States,37.195926,-91.70314,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
ERA19FA116,AccidentReport,3/5/19,Fellsmere,Florida,United States,27.715,-80.527221,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Unintended Flight Into IMC,Initial Climb,
ERA19FA118,AccidentReport,3/5/19,Talking Rock,Georgia,United States,34.533332,-84.522499,1,0,Fatal,1,Substantial,Helicopter,Part 133: Rotorcraft ext. load,,,,External load,System/Component Failure - Non-power,Maneuvering,
ERA19LA119,AccidentReport,3/5/19,Stateboro,Georgia,United States,32.475276,-81.730552,,,Minor,1,Destroyed,Airplane,Part 91: General aviation,,,,Instructional,Abnormal Runway Contact,Landing,
ERA19TA120,AccidentReport,3/5/19,Atlantic Ocean,Atlantic Ocean,United States,37.634746,-72.862037,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
ANC19FA038,AccidentReport,3/6/19,Skwentna,Alaska,United States,62.110279,-152.16777,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Enroute,
CEN19LA101,AccidentReport,3/6/19,Granite Shoals,Texas,United States,30.589445,-98.370277,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Initial Climb,
GAA19CA156,AccidentReport,3/7/19,Marysville,Ohio,United States,40.224445,-83.351669,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA157,AccidentReport,3/7/19,Superior,Wisconsin,United States,46.694999,-92.095001,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA158,AccidentReport,3/7/19,Wyndmere,North Dakota,United States,46.459167,-97.185279,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Other work use,Loss of Control In-Flight,Maneuvering,
ERA19LA125,AccidentReport,3/8/19,Orlando,Florida,United States,28.822778,-81.808334,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Flight test,Abnormal Runway Contact,Taxi,
GAA19CA160,AccidentReport,3/8/19,Rushville,Nebraska,United States,42.459167,-102.501113,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
WPR19FA091,AccidentReport,3/8/19,Forks,Washington,United States,48.101112,-124.095,1,,Fatal,1,Destroyed,Helicopter,Part 133: Rotorcraft ext. load,,,,External load,System/Component Failure - Powerplant,Maneuvering,
WPR19FA093,AccidentReport,3/8/19,Pahokee,Florida,United States,26.788055,-80.713333,5,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Unknown,Loss of Control In-Flight,Maneuvering,
CEN19FA094,AccidentReport,3/9/19,Longview,Texas,United States,32.461112,-94.539169,4,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Windshear/Thunderstorm,Enroute,
ERA19LA194,AccidentReport,3/9/19,Mount Holly,New Jersey,United States,39,-74,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
ERA19TA122,AccidentReport,3/9/19,Chamblee,Georgia,United States,33.872776,-84.300552,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Executive/Corporate,Undershoot/Overshoot,Landing,
GAA19CA159,AccidentReport,3/9/19,Pullman,Washington,United States,46.735832,-117.088058,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
